config_id,label,group,case_id,difficulty,mode,called_tools,h,a,n_checks,error_type,n_configs,n_configs_expected,missing_config_ids
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_006,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_013,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_015,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
