config_id,label,group,case_id,difficulty,h,a,n_checks,call_arguments,called_tools,error_type,n_configs,n_configs_expected,missing_config_ids
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""large volume, late night""}, {""keyword"": ""large volume, non-face-to-face, late night""}, {}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_003,hard,1,1.0,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_004,medium,1,1.0,1,"[{""keyword"": ""virtual asset""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_005,medium,1,0.0,1,"[{""keyword"": ""borrowing account""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_006,medium,1,1.0,1,"[{""keyword"": ""dormancy""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_007,hard,1,0.5,2,"[{""keyword"": ""structuring"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_008,medium,1,0.0,1,"[{""keyword"": ""corporate personal account"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_009,easy,1,1.0,1,"[{""keyword"": ""ATM""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_010,medium,1,1.0,1,"[{""keyword"": ""gambling""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_011,medium,1,1.0,1,"[{""keyword"": ""balance certificate""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_012,hard,1,1.0,2,"[{""keyword"": ""balance certificate"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_013,medium,1,0.0,1,"[{""keyword"": ""paper company""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_014,medium,1,0.0,1,"[{""keyword"": ""prepaid card, gift card, refund""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_015,medium,1,0.0,1,"[{""keyword"": ""borrowing account""}, {""keyword"": ""account borrowing""}, {""keyword"": ""account misuse""}, {""keyword"": ""suspicious account activity""}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types"", ""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_016,medium,1,1.0,1,"[{""keyword"": ""tax evasion""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_017,hard,1,1.0,2,"[{""keyword"": ""internet banking"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_018,medium,1,0.0,1,"[{""keyword"": ""unknown source""}, {}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_019,medium,1,0.0,1,"[{""keyword"": ""cross-border price difference""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_020,hard,1,0.5,2,"[{""keyword"": ""nominee, third-party"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_021,hard,1,1.0,2,"[{""keyword"": ""concentrated trading"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_022,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face, multiple accounts"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_023,medium,1,0.0,1,"[{""keyword"": ""customer information, inconsistent information""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_024,hard,1,0.0,2,"[{""keyword"": ""corporate-personal account transactions""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_fiu_025,hard,1,1.0,2,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""late-night/early-morning bulk transactions""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_003,hard,1,0.5,2,"[{""keyword"": ""비대면"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_004,medium,1,1.0,1,"[{""keyword"": ""virtual asset""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_005,medium,0,0.0,1,[],[],no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_006,medium,1,1.0,1,"[{""keyword"": ""dormancy""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_007,hard,1,0.5,2,"[{""keyword"": ""분할 거래"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_008,medium,1,0.0,1,"[{""keyword"": ""법인, 대표자 개인계좌""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_009,easy,1,0.0,1,"[{""keyword"": ""ATM, 입금, 출금""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_010,medium,1,0.0,1,"[{""keyword"": ""도박""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_011,medium,1,1.0,1,"[{""keyword"": ""balance certificate""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_012,hard,1,0.5,2,"[{""keyword"": ""잔액증명서"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_013,medium,1,0.0,1,"[{""keyword"": ""페이퍼컴퍼니""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
