# n_configs=28 of 28 in the serving registry, arm=single (Korean tool schema, Korean questions)
# not scored yet: none
config_id,model,display_name,group,h,r,p,a,o,n_h,n_r,n_p,n_a,n_o,n_cases
ax-light,skt/A.X-4.0-Light,A.X-4.0-Light (7B),Korean-Specialized,0.5342,0.4888,0.8807,0.4614,1.0,1258,1100,633,982,1,1258
ax-4.0,skt/A.X-4.0,A.X-4.0 (72B),Korean-Specialized,0.9054,0.9152,0.9309,0.8572,0.9429,1258,1102,1089,984,35,1258
exaone-1.2b,LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,Korean-Specialized,0.7432,0.7856,0.7372,0.7016,0.9706,1258,1106,1169,987,34,1258
exaone-32b,LGAI-EXAONE/EXAONE-4.0-32B,EXAONE-4.0-32B,Korean-Specialized,0.8895,0.897,0.8766,0.8745,0.9773,1258,1105,1110,986,44,1258
kanana-2-inst,kakaocorp/kanana-2-30b-a3b-instruct,Kanana-2-Instruct,Korean-Specialized,0.8092,0.8236,0.7384,0.7698,0.9118,1258,1099,1104,982,34,1258
kanana-2-think,kakaocorp/kanana-2-30b-a3b-thinking-2601,Kanana-2-Think,Korean-Specialized,0.8967,0.9158,0.8971,0.87,1.0,1258,1105,1122,986,46,1258
dragon-llama-fin,DragonLLM/Llama-Open-Finance-8B,Llama-Open-Finance-8B,Finance-Specialized,0.7353,0.747,0.7888,0.6535,1.0,1258,1102,1002,983,22,1258
dragon-qwen-fin,DragonLLM/Qwen-Open-Finance-R-8B,Qwen-Open-Finance-R-8B,Finance-Specialized,0.8426,0.8462,0.9044,0.8188,1.0,1258,1102,1026,983,41,1258
gpt-oss-20b-nt,openai/gpt-oss-20b,gpt-oss-20B (NT),General-Purpose,0.876,0.9056,0.8758,0.8542,0.9487,1258,1105,1138,986,39,1258
gpt-oss-20b-t,openai/gpt-oss-20b,gpt-oss-20B (T),General-Purpose,0.8172,0.8267,0.8779,0.8112,0.9667,1258,1102,1023,985,30,1258
gpt-oss-120b-nt,openai/gpt-oss-120b,gpt-oss-120B (NT),General-Purpose,0.9038,0.9269,0.9027,0.9009,1.0,1258,1104,1134,986,42,1258
gpt-oss-120b-t,openai/gpt-oss-120b,gpt-oss-120B (T),General-Purpose,0.8482,0.8651,0.8261,0.8581,1.0,1258,1102,1114,985,33,1258
llama-3.2-3b,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,General-Purpose,0.6033,0.7038,0.5082,0.5802,0.9091,1258,1105,1246,987,22,1258
llama-3.3-70b,meta-llama/Llama-3.3-70B-Instruct,Llama-3.3-70B,General-Purpose,0.779,0.8652,0.7883,0.8254,1.0,1258,1103,1215,985,40,1258
hermes-3-8b,NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-8B,General-Purpose,0.624,0.6121,0.8298,0.5512,1.0,1258,1100,828,982,20,1258
ministral-3b,mistralai/Ministral-3-3B-Instruct-2512,Ministral-3-3B,General-Purpose,0.8339,0.8617,0.8306,0.7652,0.9677,1258,1105,1124,986,31,1258
mistral-small,mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,General-Purpose,0.814,0.8012,0.8821,0.7912,1.0,1258,1100,952,982,45,1258
phi-4-mini,microsoft/Phi-4-mini-instruct,Phi-4-mini,General-Purpose,0.12,0.0585,0.6735,0.0575,,1258,1099,98,982,0,1258
qwen35-4b-nt,Qwen/Qwen3.5-4B,Qwen3.5-4B (NT),General-Purpose,0.9054,0.9212,0.8512,0.8714,1.0,1258,1100,1100,982,45,1258
qwen35-4b-t,Qwen/Qwen3.5-4B,Qwen3.5-4B (T),General-Purpose,0.9141,0.9537,0.8538,0.9073,1.0,1258,1105,1132,986,45,1258
qwen35-27b-nt,Qwen/Qwen3.5-27B,Qwen3.5-27B (NT),General-Purpose,0.9475,0.9667,0.8925,0.9496,1.0,1258,1106,1128,987,48,1258
qwen35-27b-t,Qwen/Qwen3.5-27B,Qwen3.5-27B (T),General-Purpose,0.942,0.9741,0.8998,0.9504,1.0,1258,1106,1142,987,47,1258
qwen36-27b,Qwen/Qwen3.6-27B,Qwen3.6-27B,General-Purpose,0.9428,0.9795,0.8809,0.9599,1.0,1258,1106,1146,987,48,1258
qwen36-35b-a3b,Qwen/Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,General-Purpose,0.9277,0.96,0.86,0.9423,1.0,1258,1104,1138,986,47,1258
xlam-3b,Salesforce/xLAM-2-3b-fc-r,xLAM-2-3B,General-Purpose,0.7393,0.7568,0.7233,0.6512,0.9615,1258,1102,1056,983,26,1258
xlam-70b,Salesforce/Llama-xLAM-2-70b-fc-r,xLAM-2-70B,General-Purpose,0.6948,0.6638,0.9364,0.6503,1.0,1258,1100,768,983,29,1258
gemma-4-e4b,google/gemma-4-E4B-it,Gemma-4-E4B,General-Purpose,0.7663,0.7462,0.9135,0.7326,1.0,1258,1104,889,987,43,1258
gemma-4-31b,google/gemma-4-31B-it,Gemma-4-31B,General-Purpose,0.9658,0.974,0.9288,0.9474,1.0,1258,1102,1110,984,48,1258
